Location,Google maps location name,Google maps adress,Place id,rating,rating total,Type
Indy Indie Artist Colony,Indy Indie Artist Colony,"26 E 14th St, Indianapolis, IN 46202, United States",ChIJcY08E91Qa4gRIYP2-sMoOZY,2.9,34,art_gallery
Cultural Arts Gallery,Cultural Arts Gallery,"Room #148, 420 University Blvd, Indianapolis, IN 46202, United States",ChIJzzUDu0pXa4gR5tDM_r2pax8,5,1,art_gallery
Racecar Factory,Racecar Factory,"1125 E Brookside Ave Suite C09, Indianapolis, IN 46202, United States",ChIJq330n3FRa4gRc25s5lJkZrM,5,3,art_gallery
Vining Gallery,Vining Gallery,"2620 E 10th St, Indianapolis, IN 46201, United States",ChIJ2Ws7D2NRa4gRd9OKox25Eao,5,1,art_gallery
Lost Dog Gallery,Lost Dog Gallery,"1040 E New York St, Indianapolis, IN 46202, United States",ChIJ5d3lqABRa4gR-0g9BAf7McA,5,9,art_gallery
IPS Crispus Attucks Museum,IPS Crispus Attucks Museum,"1140 Doctor M.L.K. Jr St, Indianapolis, IN 46202, United States",ChIJi5DQRM5Qa4gRMz0xZKIjajk,4.8,43,tourist_attraction
Madam C.J. Walker History & Heritage Museum,Madam C.J. Walker History & Heritage Museum,"Indianapolis, IN 46202, United States",ChIJaXOjUshQa4gR0ZNyjkkJs2Y,0,0,museum
The Alkis Keramidas Museum of Art,The Alkis Keramidas Museum of Art,"401 N College Ave, Indianapolis, IN 46202, United States",ChIJ__8_pJJQa4gRMucdidRH79c,0,0,museum
Indianapolis Fire Fighters Museum,Indianapolis Fire Fighters Museum,"748 Massachusetts Ave, Indianapolis, IN 46204, United States",ChIJNUFXv-1Qa4gRklzQJi75u7c,4.8,139,museum
The Children's Museum of Indianapolis,The Children's Museum of Indianapolis,"3000 N Meridian St, Indianapolis, IN 46208, United States",ChIJ85UdlT5Ra4gRanF4kshOULk,4.7,13122,tourist_attraction
Indiana State Museum,Indiana State Museum,"650 W Washington St, Indianapolis, IN 46204, United States",ChIJNzJiEbFQa4gRkBVFg5gciGs,4.6,3337,museum
Kurt Vonnegut Museum & Library,Kurt Vonnegut Museum & Library,"543 Indiana Ave, Indianapolis, IN 46202, United States",ChIJmyMLQbhQa4gRHboaKh8qcgA,4.8,92,art_gallery
Masonic Library and Museum of Indiana,Masonic Library and Museum of Indiana,"525 N Illinois St, Indianapolis, IN 46204, United States",ChIJXbNPuMBQa4gRqg6xh94Z-PA,4.5,8,museum
Eiteljorg Museum,Eiteljorg Museum,"500 W Washington St, Indianapolis, IN 46204, United States",ChIJR21I4rBQa4gRqO49IzDADJo,4.6,1657,tourist_attraction
Association of Midwest Museums,Association of Midwest Museums,"450 W Ohio St, Indianapolis, IN 46202, United States",ChIJi-aW0U612IcRNDrUSS-rfWQ,0,0,museum
Freetown Village Inc,Freetown Village Inc,"1145 E 22nd St, Indianapolis, IN 46202, United States",ChIJSakSUshQa4gRGSNIj8Xs58c,4,5,museum
James Whitcomb Riley Museum Home & Visitor Center,James Whitcomb Riley Museum Home & Visitor Center,"528 Lockerbie St, Indianapolis, IN 46202, United States",ChIJdUPSGZNQa4gR36Tcly2Yhn4,4.7,75,museum
Rhythm! Discovery Center,Rhythm! Discovery Center,"Claypool Court Building, 110 W Washington St A, Indianapolis, IN 46204, United States",ChIJE4gJjrtQa4gRod4K8MXEYnM,4.7,284,museum
Newfields,Newfields,"4000 N Michigan Rd, Indianapolis, IN 46208, United States",ChIJvcr7Ua5Wa4gR6pjfPZL9o9g,4.7,4709,museum
Eugene and Marilyn Glick Indiana History Center,Eugene and Marilyn Glick Indiana History Center,"450 W Ohio St, Indianapolis, IN 46202, United States",ChIJN5LKQbdQa4gRcPs8b8Hk_wA,4.5,18,tourist_attraction
NCAA Hall of Champions,NCAA Hall of Champions,"White River State Park, 700 W Washington St, Indianapolis, IN 46204, United States",ChIJqZGMNrJQa4gR5hWPWscdEvI,4.4,418,museum
Koorsen Training Center & Museum,Koorsen Training Center & Museum,"2820 N Webster Ave, Indianapolis, IN 46219, United States",ChIJX4xXlVxOa4gRmn9wRtD-eDA,4.9,12,museum
Pogue Run Tunnel,Pogue Run Tunnel,"1030 E New York St, Indianapolis, IN 46202, United States",ChIJEeoaj4xQa4gRCzDDh2tllN4,4.4,7,museum
Benjamin Harrison Presidential Site,Benjamin Harrison Presidential Site,"1230 N Delaware St, Indianapolis, IN 46202, United States",ChIJhY9RB-hQa4gRN0s52jjwBko,4.7,397,museum
Indianapolis Motor Speedway Museum,Indianapolis Motor Speedway Museum,"4750 W 16th St, Indianapolis, IN 46222, United States",ChIJlz9DX7ZXa4gRAKvjczaK3EQ,4.8,2997,tourist_attraction
Spades Park,Spades Park,"1800 Nowland Ave, Indianapolis, IN 46201, United States",ChIJCXC_3FBQa4gRGEGQ9vMgubQ,4.3,87,park
Triangle Park,Triangle Park,"Sterling St, Indianapolis, IN 46201, United States",ChIJPatzdVpQa4gRAb-ZTcJGCtk,4.8,4,park
Broadway & 29th Park,Broadway & 29th Park,"2921 N Park Ave, Indianapolis, IN 46205, United States",ChIJASCbeBFRa4gRHApnXjXD_GA,3.5,6,park
Barton Park,Barton Park,"2334 N Capitol Ave, Indianapolis, IN 46208, United States",ChIJE11jMiRRa4gRsuqvnQCAkME,4.2,46,park
George E. Kessler Park,George E. Kessler Park,"2501 N Pennsylvania St, Indianapolis, IN 46205, United States",ChIJIfDavyJRa4gRH0aqBYNFGBI,4.4,29,park
Fletcher Park,Fletcher Park,"1429 E Brookside Ave, Indianapolis, IN 46201, United States",ChIJDRdEHVhQa4gRQrbjcjF1yXM,4.3,23,park
JTV Hill Park,JTV Hill Park,"1806 Columbia Ave, Indianapolis, IN 46202, United States",ChIJHaX5qf9Qa4gRvKeMbAOhp7Q,4.3,97,park
Frederick Douglass Park,Frederick Douglass Park,"1616 E 25th St, Indianapolis, IN 46218, United States",ChIJ_wzP6qdRa4gRurt9BbN6Lxs,4.3,353,park
Al E. Polin Park,Al E. Polin Park,"100 E 29th St, Indianapolis, IN 46205, United States",ChIJZXKFhz1Ra4gRx1GLSHXRMrM,4.4,31,park
John Ed Park,John Ed Park,"2000 Roosevelt Ave, Indianapolis, IN 46218, United States",ChIJO64ZvLRRa4gRIMzjuGpbVag,4.4,11,park
Shawn Grove Park,Shawn Grove Park,"1401 Alabama St, Indianapolis, IN 46202, United States",ChIJq-ngTuZQa4gR6Tqm64rM57w,4.7,43,park
Douglas park,Frederick Douglass Park,"1616 E 25th St, Indianapolis, IN 46218, United States",ChIJ_wzP6qdRa4gRurt9BbN6Lxs,4.3,353,park
Great Oak Commons,Great Oak Commons,"1427 N Park Ave, Indianapolis, IN 46202, United States",ChIJf7KkqeVQa4gRfWm7CF6rrXU,4.7,27,park
Springdale community park,Springdale community park,"2200 Nowland Ave, Indianapolis, IN 46201, United States",ChIJY2NT26JRa4gR5trunaKE2Nw,0,0,park
Herron-Morton Place Park,Herron-Morton Place Park,"1927 Alabama St, Indianapolis, IN 46202, United States",ChIJyXdEM-BQa4gRDzfj1lxfo64,4.8,78,park
Asaykwee Park,Asaykwee Park,"College Ave &, 10th St, Indianapolis, IN 46202, United States",ChIJN71ntjFRa4gRRESgCW9EqNk,0,0,park
Unity Park,Unity Park,"100-198 E Frank St, Mitchell, IN 47446, United States",ChIJ_6N9unkbbIgRB0D5MT6KQVk,5,4,park
Indianapolis Department Parks & Rec,Indianapolis Parks & Rec Department,"2420 E Riverside Dr, Indianapolis, IN 46208, United States",ChIJJxyCNLpQa4gRG65RExRi_Fo,4,30,park
